id;idArea;area;partida;idCapitulo;capitulo;idOrgano;organo;creditoInicial;creditoModificacion;creditoDefinitivo;gastoComprometido;obligacionNeta;pagoNeto;obligacionPendientePago;remanenteDeCredito;fecha;concepto
"https://www.zaragoza.es/sede/servicio/presupuesto/gasto-corriente/20220128-22ACS--2311-62500";"05";"ACCION SOCIAL Y FAMILIA";"EQUIPAMIENTO Y MOBILIARIO SERVICIOS SOCIALES";"6";"Inversiones Reales";"ACS";"ACCION SOCIAL";"140000";"0";"140000";"0";"0";"0";"0";"140000";"20220128";"22ACS--2311-62500"
"https://www.zaragoza.es/sede/servicio/presupuesto/gasto-corriente/20220128-22ACS--2316-48000";"05";"ACCION SOCIAL Y FAMILIA";"PLAN DE CHOQUE CRISIS:AYUDAS DE URGENCIASOCIAL";"4";"Transferencias Corrientes";"ACS";"ACCION SOCIAL";"5850000";"0";"5850000";"0";"0";"0";"0";"5850000";"20220128";"22ACS--2316-48000"
"https://www.zaragoza.es/sede/servicio/presupuesto/gasto-corriente/20220128-22ACS--2311-20200";"05";"ACCION SOCIAL Y FAMILIA";"ALQUILERES CENTROS SERVICIOS SOCIALES";"2";"Gastos en Bienes Corrientes y Servicios";"ACS";"ACCION SOCIAL";"15000";"0";"15000";"0";"0";"0";"0";"15000";"20220128";"22ACS--2311-20200"
"https://www.zaragoza.es/sede/servicio/presupuesto/gasto-corriente/20220128-22ACS--2311-21200";"05";"ACCION SOCIAL Y FAMILIA";"MANTENIMIENTO, FUNCIONAMIENTO Y ACTIVIDADES EQUIPAMIENTOS DE SERVICIOS SOCIALES";"2";"Gastos en Bienes Corrientes y Servicios";"ACS";"ACCION SOCIAL";"660000";"0";"660000";"1000";"1000";"0";"1000";"659000";"20220128";"22ACS--2311-21200"
"https://www.zaragoza.es/sede/servicio/presupuesto/gasto-corriente/20220128-22ACS--2311-22699";"05";"ACCION SOCIAL Y FAMILIA";"GASTOS SERVICIOS Y ACTIVIDADES DE PROGRAMAS";"2";"Gastos en Bienes Corrientes y Servicios";"ACS";"ACCION SOCIAL";"356000";"0";"356000";"0";"0";"0";"0";"356000";"20220128";"22ACS--2311-22699"
"https://www.zaragoza.es/sede/servicio/presupuesto/gasto-corriente/20220128-22ACS--2311-22706";"05";"ACCION SOCIAL Y FAMILIA";"DIGITALIZACION E INNOVACION EN SERVICIOSSOCIALES";"2";"Gastos en Bienes Corrientes y Servicios";"ACS";"ACCION SOCIAL";"235000";"0";"235000";"0";"0";"0";"0";"235000";"20220128";"22ACS--2311-22706"
"https://www.zaragoza.es/sede/servicio/presupuesto/gasto-corriente/20220128-22ACS--2311-22799";"05";"ACCION SOCIAL Y FAMILIA";"SERVICIOS EXTERNOS CONTRATADOS";"2";"Gastos en Bienes Corrientes y Servicios";"ACS";"ACCION SOCIAL";"2705000";"0";"2705000";"86.25";"86.25";"0";"86.25";"2704913.75";"20220128";"22ACS--2311-22799"
"https://www.zaragoza.es/sede/servicio/presupuesto/gasto-corriente/20220128-22ACS--2312-22699";"05";"ACCION SOCIAL Y FAMILIA";"PLANIFICACION, ESTUDIOS Y OBSERVATORIO SOCIAL";"2";"Gastos en Bienes Corrientes y Servicios";"ACS";"ACCION SOCIAL";"20000";"0";"20000";"0";"0";"0";"0";"20000";"20220128";"22ACS--2312-22699"
"https://www.zaragoza.es/sede/servicio/presupuesto/gasto-corriente/20220128-22ACS--2312-22799";"05";"ACCION SOCIAL Y FAMILIA";"CENTRO ATENCION TELEFONICA SERVICIOS SOCIALES";"2";"Gastos en Bienes Corrientes y Servicios";"ACS";"ACCION SOCIAL";"350000";"0";"350000";"0";"0";"0";"0";"350000";"20220128";"22ACS--2312-22799"
"https://www.zaragoza.es/sede/servicio/presupuesto/gasto-corriente/20220128-22ACS--2313-22706";"05";"ACCION SOCIAL Y FAMILIA";"SERVICIO TELEASISTENCIA";"2";"Gastos en Bienes Corrientes y Servicios";"ACS";"ACCION SOCIAL";"2800000";"0";"2800000";"0";"0";"0";"0";"2800000";"20220128";"22ACS--2313-22706"
